# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 4K of event 'cycles:P'
# Event count (approx.): 2534099589
#
# Overhead  Command         Shared Object                   Symbol                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
# ........  ..............  ..............................  .........................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................
#
     0.07%  progetto        libglapi.so.0.0.0               [.] 0x000000000000f840
     0.07%  progetto        radeonsi_dri.so                 [.] 0x0000000000302d18
     0.07%  progetto        [kernel.kallsyms]               [k] get_iowait_time
     0.07%  progetto:cs0    [kernel.kallsyms]               [k] futex_wake
     0.07%  progetto:cs0    [kernel.kallsyms]               [k] amdgpu_cs_vm_handling
     0.07%  progetto        [kernel.kallsyms]               [k] timerqueue_add
     0.07%  progetto        [kernel.kallsyms]               [k] fput
     0.07%  progetto        [kernel.kallsyms]               [k] d_namespace_path.constprop.0
     0.07%  progetto:cs0    [kernel.kallsyms]               [k] dma_fence_default_wait
     0.07%  progetto        [kernel.kallsyms]               [k] schedule
     0.07%  progetto        radeonsi_dri.so                 [.] 0x00000000003c0160
     0.07%  progetto:cs0    [kernel.kallsyms]               [k] kfree
     0.07%  progetto:cs0    [kernel.kallsyms]               [k] do_swap
     0.07%  progetto        radeonsi_dri.so                 [.] 0x0000000000154eec
     0.07%  progetto        [kernel.kallsyms]               [k] aa_dfa_match
     0.07%  progetto:cs0    [kernel.kallsyms]               [k] __get_user_nocheck_4
     0.07%  progetto        libglapi.so.0.0.0               [.] 0x0000000000010640
     0.07%  progetto        [kernel.kallsyms]               [k] __mod_lruvec_state
     0.07%  progetto        [kernel.kallsyms]               [k] raw_spin_rq_lock_nested
     0.07%  progetto:cs0    [kernel.kallsyms]               [k] __smp_call_single_queue
     0.07%  progetto:cs0    [kernel.kallsyms]               [k] __check_object_size
     0.07%  progetto        [kernel.kallsyms]               [k] get_idle_time
     0.07%  progetto        progetto                        [.] move_shape(void*)
     0.07%  progetto        [kernel.kallsyms]               [k] memcg_account_kmem
     0.07%  progetto        libxcb.so.1.1.0                 [.] 0x000000000000bee8
     0.07%  progetto:cs0    libc.so.6                       [.] pthread_mutex_unlock@@GLIBC_2.2.5
     0.07%  progetto:cs0    [kernel.kallsyms]               [k] __perf_event_task_sched_in
     0.07%  progetto        radeonsi_dri.so                 [.] 0x0000000000362ac0
     0.06%  progetto        [kernel.kallsyms]               [k] consume_obj_stock
     0.06%  progetto        [kernel.kallsyms]               [k] p4d_offset
     0.06%  progetto        libfreetype.so.6.18.1           [.] 0x0000000000051207
     0.06%  progetto        [kernel.kallsyms]               [k] update_cfs_group
     0.06%  progetto        [kernel.kallsyms]               [k] wake_up_q
     0.06%  progetto        [kernel.kallsyms]               [k] decay_load
     0.06%  progetto        libGLX_mesa.so.0.0.0            [.] 0x0000000000043c04
     0.06%  progetto        libGLX_mesa.so.0.0.0            [.] 0x0000000000033384
     0.06%  progetto        radeonsi_dri.so                 [.] 0x0000000000230d10
     0.06%  progetto        progetto                        [.] draw_circle(float, float, float, ALLEGRO_COLOR)
     0.06%  progetto        [kernel.kallsyms]               [k] pick_next_task_fair
     0.06%  progetto        radeonsi_dri.so                 [.] 0x00000000000ced90
